Locus,Total_Depth,Average_Depth_sample,Depth_for_17
chr1:6509095,0,0.00,0
chr1:6509096,0,0.00,0
chr1:6509097,0,0.00,0
chr1:6509098,0,0.00,0
chr1:6509099,0,0.00,0
chr1:6509100,0,0.00,0
chr1:6509101,0,0.00,0
chr1:6509102,0,0.00,0
chr1:6509103,0,0.00,0
chr1:6509104,0,0.00,0
chr1:6509105,0,0.00,0
chr1:6509106,0,0.00,0
chr1:6509107,0,0.00,0
chr1:6509108,0,0.00,0
chr1:6509109,0,0.00,0
chr1:6509110,0,0.00,0
chr1:6509111,0,0.00,0
chr1:6509112,0,0.00,0
chr1:6509113,0,0.00,0
chr1:6509114,0,0.00,0
chr1:6509115,0,0.00,0
chr1:6509116,0,0.00,0
chr1:6509117,0,0.00,0
chr1:6509118,0,0.00,0
chr1:6509119,0,0.00,0
chr1:6509120,0,0.00,0
chr1:6509121,0,0.00,0
chr1:6509122,0,0.00,0
chr1:6509123,0,0.00,0
chr1:6509124,0,0.00,0
chr1:6509125,0,0.00,0
chr1:6509126,0,0.00,0
chr1:6509127,0,0.00,0
chr1:6509128,0,0.00,0
chr1:6509129,0,0.00,0
chr1:6509130,0,0.00,0
chr1:6509131,0,0.00,0
chr1:6509132,0,0.00,0
chr1:6509133,0,0.00,0
chr1:6509134,0,0.00,0
chr1:6509135,0,0.00,0
chr1:6509136,0,0.00,0
chr1:6509137,0,0.00,0
chr1:6509138,0,0.00,0
chr1:6509139,0,0.00,0
chr1:6509140,0,0.00,0
chr1:6509141,0,0.00,0
chr1:6509142,0,0.00,0
chr1:6509143,0,0.00,0
chr1:6509144,0,0.00,0
chr1:6509145,0,0.00,0
chr1:6509146,0,0.00,0
chr1:6509147,0,0.00,0
chr1:6509148,0,0.00,0
chr1:6509149,0,0.00,0
chr1:6509150,0,0.00,0
chr1:6509151,0,0.00,0
chr1:6509152,0,0.00,0
chr1:6509153,0,0.00,0
chr1:6509154,0,0.00,0
chr1:6509155,0,0.00,0
chr1:6509156,0,0.00,0
chr1:6509157,0,0.00,0
chr1:6509158,0,0.00,0
chr1:6509159,0,0.00,0
chr1:6509160,0,0.00,0
chr1:6509161,0,0.00,0
chr1:6509162,0,0.00,0
chr1:6509163,0,0.00,0
chr1:6509164,0,0.00,0
chr1:6509165,0,0.00,0
chr1:6509166,0,0.00,0
chr1:6509167,0,0.00,0
chr1:6509168,0,0.00,0
chr1:6509169,0,0.00,0
chr1:6509170,0,0.00,0
chr1:6509171,0,0.00,0
chr1:41249746,0,0.00,0
chr1:41249747,0,0.00,0
chr1:41249748,0,0.00,0
chr1:41249749,0,0.00,0
chr1:41249750,0,0.00,0
chr1:41249751,0,0.00,0
chr1:41249752,0,0.00,0
chr1:41249753,0,0.00,0
chr1:41249754,0,0.00,0
chr1:41249755,0,0.00,0
chr1:41249756,0,0.00,0
chr1:41249757,0,0.00,0
chr1:41249758,0,0.00,0
chr1:41249759,0,0.00,0
chr1:41249760,0,0.00,0
chr1:41249761,0,0.00,0
chr1:41249762,0,0.00,0
chr1:41249763,0,0.00,0
chr1:41249764,0,0.00,0
chr1:41249765,0,0.00,0
chr1:41249766,0,0.00,0
chr1:41249767,0,0.00,0
chr1:41249768,0,0.00,0
chr1:41249769,0,0.00,0
chr1:41249770,0,0.00,0
chr1:41249771,0,0.00,0
chr1:41249772,0,0.00,0
chr1:41249773,0,0.00,0
chr1:41249774,0,0.00,0
chr1:41249775,0,0.00,0
chr1:41249776,0,0.00,0
chr1:41249777,0,0.00,0
chr1:41249778,0,0.00,0
chr1:41249779,0,0.00,0
chr1:41249780,0,0.00,0
chr1:41249781,0,0.00,0
chr1:41249782,0,0.00,0
chr1:41249783,0,0.00,0
chr1:41249784,0,0.00,0
chr1:41249785,0,0.00,0
chr1:41249786,0,0.00,0
chr1:41249787,0,0.00,0
chr1:41249788,0,0.00,0
chr1:41249789,0,0.00,0
chr1:41249790,0,0.00,0
chr1:41249791,0,0.00,0
chr1:41249792,0,0.00,0
chr1:41249793,0,0.00,0
chr1:41249794,0,0.00,0
chr1:41249795,0,0.00,0
chr1:41249796,0,0.00,0
chr1:41249797,0,0.00,0
chr1:41249798,0,0.00,0
chr1:41249799,0,0.00,0
chr1:41249800,0,0.00,0
chr1:41249801,0,0.00,0
chr1:41249802,0,0.00,0
chr1:41249803,0,0.00,0
chr1:41249804,0,0.00,0
chr1:41249805,0,0.00,0
chr1:41249806,0,0.00,0
chr1:41249807,0,0.00,0
chr1:41249808,0,0.00,0
chr1:41249809,0,0.00,0
chr1:41249810,0,0.00,0
chr1:41249811,0,0.00,0
chr1:41249812,0,0.00,0
chr1:41249813,0,0.00,0
chr1:41249814,0,0.00,0
chr1:41249815,0,0.00,0
chr1:41249816,0,0.00,0
chr1:41249817,0,0.00,0
chr1:41249818,0,0.00,0
chr1:41249819,0,0.00,0
chr1:41249820,0,0.00,0
chr1:41249821,0,0.00,0
chr1:41249822,0,0.00,0
chr1:41249823,0,0.00,0
chr1:41249824,0,0.00,0
chr1:41249825,0,0.00,0
chr1:41249826,0,0.00,0
chr1:41249827,0,0.00,0
chr1:41249828,0,0.00,0
chr1:41249829,0,0.00,0
chr1:41249830,0,0.00,0
chr1:41249831,0,0.00,0
chr1:41249832,0,0.00,0
chr1:41249833,0,0.00,0
chr1:41249834,0,0.00,0
chr1:41249835,0,0.00,0
chr1:41249836,0,0.00,0
chr1:41249837,0,0.00,0
chr1:41249838,0,0.00,0
chr1:41249839,0,0.00,0
chr1:41249840,0,0.00,0
chr1:41249841,0,0.00,0
chr1:41249842,0,0.00,0
chr1:41249843,0,0.00,0
chr1:41249844,0,0.00,0
chr1:41249845,0,0.00,0
chr1:41249846,0,0.00,0
chr1:41249847,0,0.00,0
chr1:41249848,0,0.00,0
chr1:41249849,0,0.00,0
chr1:41249850,0,0.00,0
chr1:41249851,0,0.00,0
chr1:41249852,0,0.00,0
chr1:41249853,0,0.00,0
chr1:41249854,0,0.00,0
chr1:41249855,0,0.00,0
chr1:41249856,0,0.00,0
chr1:41249857,0,0.00,0
chr1:41249858,0,0.00,0
chr1:41249859,0,0.00,0
chr1:41249860,0,0.00,0
chr1:41249861,0,0.00,0
chr1:41249862,0,0.00,0
chr1:41249863,0,0.00,0
chr1:41249864,0,0.00,0
chr1:41249865,0,0.00,0
chr1:41249866,0,0.00,0
chr1:41249867,0,0.00,0
chr1:41249868,0,0.00,0
chr1:41249869,0,0.00,0
chr1:41249870,0,0.00,0
chr1:41249871,0,0.00,0
chr1:41249872,0,0.00,0
chr1:41249873,0,0.00,0
chr1:41249874,0,0.00,0
chr1:41249875,0,0.00,0
chr1:41249876,0,0.00,0
chr1:41249877,0,0.00,0
chr1:41249878,0,0.00,0
chr1:41249879,0,0.00,0
chr1:41249880,0,0.00,0
chr1:41249881,0,0.00,0
chr1:41249882,0,0.00,0
chr1:41249883,0,0.00,0
chr1:41249884,0,0.00,0
chr1:41249885,0,0.00,0
chr1:41249886,0,0.00,0
chr1:41249887,0,0.00,0
chr1:41249888,0,0.00,0
chr1:41249889,0,0.00,0
chr1:41249890,0,0.00,0
chr1:41249891,0,0.00,0
chr1:41249892,0,0.00,0
chr1:41249893,0,0.00,0
chr1:41249894,0,0.00,0
chr1:41249895,0,0.00,0
chr1:41249896,0,0.00,0
chr1:41249897,0,0.00,0
chr1:41249898,0,0.00,0
chr1:41249899,0,0.00,0
chr1:41249900,0,0.00,0
chr1:41249901,0,0.00,0
chr1:41249902,0,0.00,0
chr1:41249903,0,0.00,0
chr1:41249904,0,0.00,0
chr1:41249905,0,0.00,0
chr1:41249906,0,0.00,0
chr1:41249907,0,0.00,0
chr1:41249908,0,0.00,0
chr1:41249909,0,0.00,0
chr1:41249910,0,0.00,0
chr1:41249911,0,0.00,0
chr1:41249912,0,0.00,0
chr1:41249913,0,0.00,0
chr1:41249914,0,0.00,0
chr1:41249915,0,0.00,0
chr1:41249916,0,0.00,0
chr1:41249917,0,0.00,0
chr1:41249918,0,0.00,0
chr1:41249919,0,0.00,0
chr1:41249920,0,0.00,0
chr1:41249921,0,0.00,0
chr1:41249922,0,0.00,0
chr1:41249923,0,0.00,0
chr1:41249924,0,0.00,0
chr1:41249925,0,0.00,0
chr1:41249926,0,0.00,0
chr1:41249927,0,0.00,0
chr1:41249928,0,0.00,0
chr1:41249929,0,0.00,0
chr1:41249930,0,0.00,0
chr1:41249931,0,0.00,0
chr1:41249932,0,0.00,0
chr1:41249933,0,0.00,0
chr1:41249934,0,0.00,0
chr1:41249935,0,0.00,0
chr1:41249936,0,0.00,0
chr1:41249937,0,0.00,0
chr1:41249938,0,0.00,0
chr1:41249939,0,0.00,0
chr1:41249940,0,0.00,0
chr1:41249941,0,0.00,0
chr1:41249942,0,0.00,0
chr1:41249943,0,0.00,0
chr1:41249944,0,0.00,0
chr1:41249945,0,0.00,0
chr1:41249946,0,0.00,0
chr1:41249947,0,0.00,0
chr1:41249948,0,0.00,0
chr1:41249949,0,0.00,0
chr1:41249950,0,0.00,0
chr1:41249951,0,0.00,0
chr1:41249952,0,0.00,0
chr1:41249953,0,0.00,0
chr1:41249954,0,0.00,0
chr1:41249955,0,0.00,0
chr1:41249956,0,0.00,0
chr1:41249957,0,0.00,0
chr1:41249958,0,0.00,0
chr1:41249959,0,0.00,0
chr1:41249960,0,0.00,0
chr1:41249961,0,0.00,0
chr1:41249962,0,0.00,0
chr1:41249963,0,0.00,0
chr1:41249964,0,0.00,0
chr1:41249965,0,0.00,0
chr1:41289940,0,0.00,0
chr1:55472797,0,0.00,0
chr1:55472798,0,0.00,0
chr1:55472799,0,0.00,0
chr1:55472800,0,0.00,0
chr1:55472801,0,0.00,0
chr1:55472802,0,0.00,0
chr1:55472803,0,0.00,0
chr1:55472804,0,0.00,0
chr1:55472805,0,0.00,0
chr1:55472806,0,0.00,0
chr1:55472807,0,0.00,0
chr1:55472808,0,0.00,0
chr1:55472809,0,0.00,0
chr1:55472810,0,0.00,0
chr1:55472811,0,0.00,0
chr1:55472812,0,0.00,0
chr1:55472813,0,0.00,0
chr1:55472814,0,0.00,0
chr1:55472815,0,0.00,0
chr1:55472816,0,0.00,0
chr1:55472817,0,0.00,0
chr1:55472818,0,0.00,0
chr1:55472819,0,0.00,0
chr1:55472820,0,0.00,0
chr1:55472821,0,0.00,0
chr1:55472822,0,0.00,0
chr1:109445743,0,0.00,0
chr1:109445744,0,0.00,0
chr1:109445745,0,0.00,0
chr1:109445746,0,0.00,0
chr1:109445747,0,0.00,0
chr1:109445748,0,0.00,0
chr1:109445749,0,0.00,0
chr1:109445750,0,0.00,0
chr1:109445751,0,0.00,0
chr1:109445752,0,0.00,0
chr1:109445753,0,0.00,0
chr1:109445754,0,0.00,0
chr1:109445755,0,0.00,0
chr1:109445756,0,0.00,0
chr1:109445757,0,0.00,0
chr1:109445758,0,0.00,0
chr1:109445759,0,0.00,0
chr1:109445760,0,0.00,0
chr1:109445761,0,0.00,0
chr1:109445762,0,0.00,0
chr1:109445763,0,0.00,0
chr1:109445764,0,0.00,0
chr1:109445765,0,0.00,0
chr1:109445766,0,0.00,0
chr1:109445767,0,0.00,0
chr1:109445768,0,0.00,0
chr1:109445769,0,0.00,0
chr1:109445770,0,0.00,0
chr1:109445771,0,0.00,0
chr1:109445772,0,0.00,0
chr1:109445773,0,0.00,0
chr1:109445774,0,0.00,0
chr1:109445775,0,0.00,0
chr1:109445776,0,0.00,0
chr1:109445777,0,0.00,0
chr1:109445778,0,0.00,0
chr1:109445779,0,0.00,0
chr1:215916609,0,0.00,0
chr1:215916610,0,0.00,0
chr1:215916611,0,0.00,0
chr1:215916612,0,0.00,0
chr1:215916613,0,0.00,0
chr1:215916614,0,0.00,0
chr1:215916615,0,0.00,0
chr1:215916616,0,0.00,0
chr1:215916617,0,0.00,0
chr1:215916618,0,0.00,0
chr1:215916619,0,0.00,0
chr1:215916620,0,0.00,0
chr1:215916621,0,0.00,0
chr1:215916622,0,0.00,0
chr1:215916623,0,0.00,0
chr1:215916624,0,0.00,0
chr1:215916625,0,0.00,0
chr1:215916626,0,0.00,0
chr1:215916627,0,0.00,0
chr1:215916628,0,0.00,0
chr1:215916629,0,0.00,0
chr1:215916630,0,0.00,0
chr1:215916631,0,0.00,0
chr1:215916632,0,0.00,0
chr1:215916633,0,0.00,0
chr1:215916634,0,0.00,0
chr1:215916635,0,0.00,0
chr1:215916636,0,0.00,0
chr1:215916637,0,0.00,0
chr1:215916638,0,0.00,0
chr1:215916639,0,0.00,0
chr1:215933099,0,0.00,0
chr1:215933100,0,0.00,0
chr1:215933101,0,0.00,0
chr1:215933102,0,0.00,0
chr1:215933103,0,0.00,0
chr1:215933104,0,0.00,0
chr1:215933105,0,0.00,0
chr1:215933106,0,0.00,0
chr1:215933107,0,0.00,0
chr1:215933108,0,0.00,0
chr1:216040384,0,0.00,0
chr1:216040385,0,0.00,0
chr1:216040386,0,0.00,0
chr1:216262407,0,0.00,0
chr2:26683833,0,0.00,0
chr2:26683834,0,0.00,0
chr2:26683835,0,0.00,0
chr2:26683836,0,0.00,0
chr2:26683837,0,0.00,0
chr2:26683838,0,0.00,0
chr2:26683839,0,0.00,0
chr2:26683840,0,0.00,0
chr2:26683841,0,0.00,0
chr2:26683842,0,0.00,0
chr2:26683843,0,0.00,0
chr2:26684789,0,0.00,0
chr2:26684790,0,0.00,0
chr2:26684791,0,0.00,0
chr2:26684792,0,0.00,0
chr2:26684793,0,0.00,0
chr2:26684794,0,0.00,0
chr2:26684795,0,0.00,0
chr2:26684796,0,0.00,0
chr2:26684797,0,0.00,0
chr2:26684798,0,0.00,0
chr2:26684799,0,0.00,0
chr2:26684800,0,0.00,0
chr2:26684801,0,0.00,0
chr2:26684802,0,0.00,0
chr2:26684803,0,0.00,0
chr2:26684804,0,0.00,0
chr2:26684805,0,0.00,0
chr2:26684806,0,0.00,0
chr2:26684807,0,0.00,0
chr2:26684808,0,0.00,0
chr2:26684809,0,0.00,0
chr2:26684810,0,0.00,0
chr2:26684811,0,0.00,0
chr2:26684812,0,0.00,0
chr2:26684813,0,0.00,0
chr2:26684814,0,0.00,0
chr2:26684815,0,0.00,0
chr2:26684816,0,0.00,0
chr2:26684817,0,0.00,0
chr2:26684818,0,0.00,0
chr2:26684819,0,0.00,0
chr2:26684820,0,0.00,0
chr2:26684821,0,0.00,0
chr2:26684822,0,0.00,0
chr2:26684823,0,0.00,0
chr2:26684824,0,0.00,0
chr2:26684825,0,0.00,0
chr2:26697385,0,0.00,0
chr2:26697386,0,0.00,0
chr2:26697387,0,0.00,0
chr2:26697388,0,0.00,0
chr2:26697389,0,0.00,0
chr2:26697390,0,0.00,0
chr2:26697391,0,0.00,0
chr2:26697392,0,0.00,0
chr2:26697393,0,0.00,0
chr2:26697394,0,0.00,0
chr2:26697395,0,0.00,0
chr2:26697396,0,0.00,0
chr2:26697397,0,0.00,0
chr2:26703698,0,0.00,0
chr2:26703699,0,0.00,0
chr2:26703700,0,0.00,0
chr2:26703701,0,0.00,0
chr2:26703702,0,0.00,0
chr2:26703703,0,0.00,0
chr2:26703704,0,0.00,0
chr2:26703705,0,0.00,0
chr2:26703706,0,0.00,0
chr2:26703707,0,0.00,0
chr3:121712113,0,0.00,0
chr3:121712114,0,0.00,0
chr3:121712115,0,0.00,0
chr3:121712116,0,0.00,0
chr3:121712117,0,0.00,0
chr3:121712118,0,0.00,0
chr3:121712119,0,0.00,0
chr3:121712120,0,0.00,0
chr4:6279228,0,0.00,0
chr4:6279229,0,0.00,0
chr4:6279230,0,0.00,0
chr4:6279231,0,0.00,0
chr4:6279232,0,0.00,0
chr4:6279233,0,0.00,0
chr4:6279234,0,0.00,0
chr4:6279235,0,0.00,0
chr4:6279236,0,0.00,0
chr4:6279237,0,0.00,0
chr4:6279238,0,0.00,0
chr4:6279239,0,0.00,0
chr4:6279240,0,0.00,0
chr4:6279241,0,0.00,0
chr4:6279242,0,0.00,0
chr4:6279243,0,0.00,0
chr4:6279244,0,0.00,0
chr4:6279245,0,0.00,0
chr4:6279246,0,0.00,0
chr4:6279247,0,0.00,0
chr4:6279248,0,0.00,0
chr4:6279249,0,0.00,0
chr4:6279250,0,0.00,0
chr4:6279251,0,0.00,0
chr4:6279252,0,0.00,0
chr4:6279253,0,0.00,0
chr4:6279254,0,0.00,0
chr4:6279255,0,0.00,0
chr4:6279256,0,0.00,0
chr4:6279257,0,0.00,0
chr4:6279258,0,0.00,0
chr4:6279259,0,0.00,0
chr4:6279260,0,0.00,0
chr4:6279261,0,0.00,0
chr4:6279262,0,0.00,0
chr4:6279263,0,0.00,0
chr4:6279264,0,0.00,0
chr4:6279265,0,0.00,0
chr4:6279266,0,0.00,0
chr4:6279267,0,0.00,0
chr4:6279268,0,0.00,0
chr4:6279269,0,0.00,0
chr4:6279270,0,0.00,0
chr4:6279271,0,0.00,0
chr4:6279272,0,0.00,0
chr4:6279273,0,0.00,0
chr4:6279274,0,0.00,0
chr4:6279275,0,0.00,0
chr4:6279276,0,0.00,0
chr4:6279277,0,0.00,0
chr4:6279278,0,0.00,0
chr4:6279279,0,0.00,0
chr4:6279280,0,0.00,0
chr4:6279281,0,0.00,0
chr4:6279282,0,0.00,0
chr4:6279283,0,0.00,0
chr4:6279284,0,0.00,0
chr4:6279285,0,0.00,0
chr4:6279286,0,0.00,0
chr4:6279287,0,0.00,0
chr4:6279288,0,0.00,0
chr4:6279289,0,0.00,0
chr4:6293633,0,0.00,0
chr4:6293634,0,0.00,0
chr4:6293635,0,0.00,0
chr4:6293636,0,0.00,0
chr4:6293637,0,0.00,0
chr4:6293638,0,0.00,0
chr4:6293639,0,0.00,0
chr4:6293640,0,0.00,0
chr4:6293641,0,0.00,0
chr4:6293642,0,0.00,0
chr4:6293643,0,0.00,0
chr4:6293644,0,0.00,0
chr4:6293645,0,0.00,0
chr4:6293646,0,0.00,0
chr4:6293647,0,0.00,0
chr4:6293648,0,0.00,0
chr4:6293649,0,0.00,0
chr4:6293650,0,0.00,0
chr4:6293651,0,0.00,0
chr4:6293652,0,0.00,0
chr4:6293653,0,0.00,0
chr4:6293654,0,0.00,0
chr4:6293655,0,0.00,0
chr4:6293656,0,0.00,0
chr4:6293657,0,0.00,0
chr4:6293658,0,0.00,0
chr4:6293659,0,0.00,0
chr4:6293660,0,0.00,0
chr4:6293661,0,0.00,0
chr4:6293662,0,0.00,0
chr4:6293663,0,0.00,0
chr4:6293664,0,0.00,0
chr4:6293665,0,0.00,0
chr4:6293666,0,0.00,0
chr4:6293667,0,0.00,0
chr4:88535353,0,0.00,0
chr4:88535354,0,0.00,0
chr4:88535355,0,0.00,0
chr4:88535356,0,0.00,0
chr4:88535357,0,0.00,0
chr4:88535358,0,0.00,0
chr4:88535359,0,0.00,0
chr4:88535360,0,0.00,0
chr4:88535361,0,0.00,0
chr4:88535362,0,0.00,0
chr4:88535363,0,0.00,0
chr4:88535364,0,0.00,0
chr4:88535365,0,0.00,0
chr4:88535366,0,0.00,0
chr4:88535367,0,0.00,0
chr4:88535368,0,0.00,0
chr4:88535369,0,0.00,0
chr4:88535370,0,0.00,0
chr4:88535371,0,0.00,0
chr4:88535372,0,0.00,0
chr4:88535373,0,0.00,0
chr4:88535374,0,0.00,0
chr4:88535375,0,0.00,0
chr4:88535376,0,0.00,0
chr4:88535377,0,0.00,0
chr4:88535378,0,0.00,0
chr4:88535379,0,0.00,0
chr4:88535380,0,0.00,0
chr4:88535381,0,0.00,0
chr4:88535382,0,0.00,0
chr4:88535383,0,0.00,0
chr4:88535384,0,0.00,0
chr4:88535385,0,0.00,0
chr4:88535386,0,0.00,0
chr4:88535387,0,0.00,0
chr4:88535388,0,0.00,0
chr4:88535389,0,0.00,0
chr4:88535390,0,0.00,0
chr4:88535391,0,0.00,0
chr4:88535392,0,0.00,0
chr4:88535393,0,0.00,0
chr4:88535394,0,0.00,0
chr4:88535395,0,0.00,0
chr4:88535396,0,0.00,0
chr4:88535397,0,0.00,0
chr4:88535398,0,0.00,0
chr4:88535399,0,0.00,0
chr4:88535400,0,0.00,0
chr4:88535401,0,0.00,0
chr4:88535402,0,0.00,0
chr4:88535403,0,0.00,0
chr4:88535404,0,0.00,0
chr4:88535405,0,0.00,0
chr4:88535406,0,0.00,0
chr4:88535407,0,0.00,0
chr4:88535408,0,0.00,0
chr4:88535409,0,0.00,0
chr4:88535410,0,0.00,0
chr4:88535411,0,0.00,0
chr4:88535412,0,0.00,0
chr4:88535413,0,0.00,0
chr4:88535414,0,0.00,0
chr4:88535415,0,0.00,0
chr4:88535416,0,0.00,0
chr4:88535417,0,0.00,0
chr4:88535418,0,0.00,0
chr4:88535419,0,0.00,0
chr4:88535420,0,0.00,0
chr4:88535421,0,0.00,0
chr4:88535422,0,0.00,0
chr4:88535423,0,0.00,0
chr4:88535424,0,0.00,0
chr4:88535425,0,0.00,0
chr4:88535426,0,0.00,0
chr4:88535427,0,0.00,0
chr4:88535428,0,0.00,0
chr4:88535429,0,0.00,0
chr4:88535430,0,0.00,0
chr4:88535431,0,0.00,0
chr4:88535432,0,0.00,0
chr4:88535433,0,0.00,0
chr4:88535434,0,0.00,0
chr4:88535435,0,0.00,0
chr4:88535436,0,0.00,0
chr4:88535437,0,0.00,0
chr4:88535438,0,0.00,0
chr4:88535439,0,0.00,0
chr4:88535440,0,0.00,0
chr4:88535441,0,0.00,0
chr4:88535442,0,0.00,0
chr4:88535443,0,0.00,0
chr4:88535444,0,0.00,0
chr4:88535445,0,0.00,0
chr4:88535446,0,0.00,0
chr4:88535447,0,0.00,0
chr4:88535448,0,0.00,0
chr4:88535449,0,0.00,0
chr4:88535450,0,0.00,0
chr4:88535451,0,0.00,0
chr4:88535452,0,0.00,0
chr4:88535453,0,0.00,0
chr4:88535454,0,0.00,0
chr4:88535455,0,0.00,0
chr4:88535456,0,0.00,0
chr4:88535457,0,0.00,0
chr4:88535458,0,0.00,0
chr4:88535459,0,0.00,0
chr4:88535460,0,0.00,0
chr4:88535461,0,0.00,0
chr4:88535462,0,0.00,0
chr4:88535463,0,0.00,0
chr4:88535464,0,0.00,0
chr4:88535465,0,0.00,0
chr4:88535466,0,0.00,0
chr4:88535467,0,0.00,0
chr4:88535468,0,0.00,0
chr4:88535469,0,0.00,0
chr4:88535470,0,0.00,0
chr4:88535471,0,0.00,0
